ID | Map evaluation | API evaluation | url_start_via_end |	url_start_via | url_via_end+ 
315795 | No Routing|  No Routing |-- | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=41.85,-87.65&loc=19.60371,-155.4524","url_start_via")|-- 
316187 | No Routing|  No Routing |-- | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=41.85,-87.65&loc=19.60371,-155.4524","url_start_via")|-- 
315826 | No Routing|  No Routing |-- | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=41.85,-87.65&loc=19.60371,-155.4524","url_start_via")|-- 
317238 | |  No Routing |-- | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=59.6425,-151.5483&loc=57.3333,-153.3333","url_start_via")|-- 
317239 | |  No Routing |-- | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=59.6425,-151.5483&loc=57.3333,-153.3333","url_start_via")|-- 
315183 | |  |-- | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=38.9481953798511,-120.081768035889&loc=48.0517637,-122.1770818","url_start_via")|-- 
317240 | |  |-- | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=43.653226,-79.3831843&loc=43.4858881,-72.48792879999999","url_start_via")|-- 
317241 | |  |-- | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=43.653226,-79.3831843&loc=43.4858881,-72.48792879999999","url_start_via")|-- 
317435 | |  | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=46.987323,-123.8051904&loc=48.234169,-121.173541&loc=47.6062095,-122.3320708","url_start_via_end")| =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=46.987323,-123.8051904&loc=48.234169,-121.173541","url_start_via")| =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=48.234169,-121.173541&loc=47.6062095,-122.3320708","url_via_end")
317716 | |  No Routing |-- | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=41.85,-87.65&loc=37.235,-115.811111","url_start_via")|-- 
319007 | |  | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=46.76421,-122.1935&loc=48.23417,-121.1735&loc=48.052913,-121.519861","url_start_via_end")| =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=46.76421,-122.1935&loc=48.23417,-121.1735","url_start_via")| =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=48.23417,-121.1735&loc=48.052913,-121.519861","url_via_end")
